Method,SSIM,PSNR
GT Slice,0.9820643189231266,71.38986882396078
Full Scan Reconstruction,0.25478136515168265,68.53076058845531
Train Set Reconstruction,0.2514775143922811,68.63043865244425
NVS Reconstruction,0.14998444457070084,54.61878986929822
Biharmonic Reconstruction,0.25367346809325614,68.63987305019454
NS Reconstruction,0.23515038485719572,67.04522051095591
FMM Reconstruction,0.22637352267792613,64.72542401874682
TV Reconstruction,0.2213739038678637,64.74526922058949
