Method,SSIM,PSNR
GT Slice,0.9820643189231266,71.3898688239608
Full Scan Reconstruction,0.25478136515168265,68.53076058845531
Train Set Reconstruction,0.2514775143922811,68.63043865244425
NVS Reconstruction,0.22856309311071904,64.57712864051197
Biharmonic Reconstruction,0.2536734615963456,68.63987236398322
NS Reconstruction,0.23515038485719572,67.04522051095591
FMM Reconstruction,0.22637352267792613,64.72542401874682
TV Reconstruction,0.22114914342994307,64.6527760681784
