Method,SSIM,PSNR
GT Slice,0.8240916725922668,92.08456618523684
Full Scan Reconstruction,0.5432626469851789,63.01236668081482
Train Set Reconstruction,0.5105439667594444,58.888632682211046
NVS Reconstruction,0.49331918027127747,57.86177340847904
Biharmonic Reconstruction,0.5068984246196024,59.00028901664517
NS Reconstruction,0.5032879013509872,60.34394032308427
FMM Reconstruction,0.5092181106849734,59.22549570670286
TV Reconstruction,0.5102621367045732,59.220517391925924
