Method,SSIM,PSNR
GT Slice,0.9820643189231266,71.38986882396078
Full Scan Reconstruction,0.2514775143922811,68.63043865244425
Train Set Reconstruction,0.17504189010733204,59.19541498494665
NVS Reconstruction,0.10089959762961112,53.12682535999475
Biharmonic Reconstruction,0.13907719235836727,55.710870286280674
NS Reconstruction,0.1521996578462778,55.99160039114717
FMM Reconstruction,0.1461176437746485,54.472051732119425
TV Reconstruction,0.13780643562719613,55.08454798190195
