Method,SSIM,PSNR
GT Slice,1.0,100.0
Full Scan Reconstruction,0.25122037069893394,68.7295930909417
Train Set Reconstruction,0.24832033141680535,68.87999315406455
LERP Reconstruction,0.24656957972872906,68.24877972952538
NeRF Reconstruction,0.21927013271397533,63.51930842466129
Biharmonic Reconstruction,0.25027337247774983,68.82667093485588
NS Reconstruction,0.22808565560446112,66.2151160148869
FMM Reconstruction,0.21628404369213403,62.888369753062214
TV Reconstruction,0.22282363813711906,64.55182479837313
GS Reconstruction,0.25155052659330496,69.44849208390397
