Method,SSIM,PSNR
GT Slice,1.0,100.0
Full Scan Reconstruction,0.2914153930502582,74.34393814505053
Train Set Reconstruction,0.26728392190772776,71.29072025652546
LERP Reconstruction,0.2781138260796966,72.87886707195437
NeRF Reconstruction,0.24297408549279326,67.72438562955887
Biharmonic Reconstruction,0.27448548484106433,72.31839366676441
NS Reconstruction,0.26261738408572066,71.09851151705018
FMM Reconstruction,0.24593816858765666,68.27589311736615
TV Reconstruction,0.2603341780553641,70.69434568533953
GS Reconstruction,0.2956419415555963,74.65003715703178
