Method,SSIM,PSNR
GT Slice,1.0,100.0
Full Scan Reconstruction,0.2819619325452778,70.58950676573897
Train Set Reconstruction,0.18694275879540662,58.23020887557607
LERP Reconstruction,0.17689603088332626,58.06259012009244
NeRF Reconstruction,0.18640334488154064,57.214178725071115
Biharmonic Reconstruction,0.19319428578799908,58.916644354720205
NS Reconstruction,0.17119569673037136,56.564667425909995
FMM Reconstruction,0.19317649359660147,58.975552547499454
TV Reconstruction,0.14536806977891267,54.07052621249302
GS Reconstruction,0.2737058837401083,69.40963683932398
